"ID","attention_check","est_replicability","trust_authors","trust_funder","trust_journal","trust_study","COI","result","AC","cond"
423,2,100,4,3,4,4,"COI","con","correct","neg_COI"
424,2,90,6,6,6,6,"COI","pro","correct","pos_COI"
425,2,40,3,3,4,5,"no COI","con","incorrect","neg_noCOI"
426,2,30,5,4,6,5,"external COI","con","correct","neg_extCOI"
427,1,70,5,5,5,5,"external COI","con","incorrect","neg_extCOI"
428,2,20,3,3,3,3,"COI","con","correct","neg_COI"
429,2,70,5,5,5,5,"external COI","con","correct","neg_extCOI"
430,1,70,4,4,4,5,"no COI","pro","correct","pos_noCOI"
431,1,80,6,5,4,6,"no COI","con","correct","neg_noCOI"
432,2,60,6,5,5,5,"COI","pro","correct","pos_COI"
433,2,60,7,6,7,7,"external COI","pro","correct","pos_extCOI"
434,2,60,5,3,5,5,"external COI","con","correct","neg_extCOI"
435,2,85,6,5,6,5,"external COI","pro","correct","pos_extCOI"
436,1,50,5,4,5,6,"external COI","con","incorrect","neg_extCOI"
437,1,95,6,5,7,5,"no COI","pro","correct","pos_noCOI"
438,1,60,5,5,5,5,"no COI","pro","correct","pos_noCOI"
439,1,55,5,4,5,5,"COI","pro","incorrect","pos_COI"
440,1,70,6,6,6,6,"no COI","pro","correct","pos_noCOI"
441,1,75,6,6,6,6,"no COI","pro","correct","pos_noCOI"
442,2,40,2,2,2,2,"external COI","pro","correct","pos_extCOI"
443,1,50,4,4,4,4,"no COI","pro","correct","pos_noCOI"
444,2,75,5,4,6,6,"external COI","pro","correct","pos_extCOI"
445,2,65,5,4,5,6,"no COI","pro","incorrect","pos_noCOI"
446,2,50,4,4,4,4,"no COI","pro","incorrect","pos_noCOI"
447,2,80,6,6,6,6,"external COI","con","correct","neg_extCOI"
448,2,60,5,5,4,5,"external COI","con","correct","neg_extCOI"
449,2,20,3,3,4,3,"COI","pro","correct","pos_COI"
450,1,60,4,5,5,5,"external COI","con","incorrect","neg_extCOI"
451,1,20,4,5,5,6,"no COI","pro","correct","pos_noCOI"
452,2,75,5,4,5,6,"external COI","pro","correct","pos_extCOI"
453,2,80,6,4,6,6,"external COI","con","correct","neg_extCOI"
454,1,65,4,4,4,4,"no COI","con","correct","neg_noCOI"
455,2,75,5,6,4,6,"external COI","con","correct","neg_extCOI"
456,2,80,6,5,5,5,"external COI","pro","correct","pos_extCOI"
457,2,70,6,6,6,6,"COI","pro","correct","pos_COI"
458,1,65,5,6,5,5,"external COI","pro","incorrect","pos_extCOI"
459,1,70,7,4,6,6,"no COI","pro","correct","pos_noCOI"
460,2,80,6,4,5,6,"external COI","con","correct","neg_extCOI"
461,2,50,5,5,5,6,"COI","pro","correct","pos_COI"
462,2,50,5,5,5,5,"COI","con","correct","neg_COI"
463,2,60,4,4,4,4,"COI","pro","correct","pos_COI"
464,2,75,6,6,7,6,"COI","pro","correct","pos_COI"
465,2,75,5,4,4,6,"external COI","con","correct","neg_extCOI"
466,2,80,7,5,6,6,"external COI","pro","correct","pos_extCOI"
467,2,50,4,4,4,4,"COI","con","correct","neg_COI"
468,1,40,4,3,4,3,"no COI","con","correct","neg_noCOI"
469,1,70,5,5,5,5,"no COI","pro","correct","pos_noCOI"
470,2,80,5,5,5,5,"external COI","pro","correct","pos_extCOI"
471,1,75,5,5,5,5,"no COI","con","correct","neg_noCOI"
472,1,60,6,5,6,5,"no COI","con","correct","neg_noCOI"
473,1,50,4,4,4,3,"external COI","pro","incorrect","pos_extCOI"
474,1,75,6,4,6,3,"external COI","pro","incorrect","pos_extCOI"
475,1,80,5,6,5,3,"no COI","pro","correct","pos_noCOI"
476,2,70,6,6,7,6,"external COI","con","correct","neg_extCOI"
477,1,70,6,4,5,6,"no COI","con","correct","neg_noCOI"
478,1,70,5,4,5,5,"COI","pro","incorrect","pos_COI"
479,1,100,7,7,7,7,"no COI","con","correct","neg_noCOI"
480,2,50,4,5,5,4,"COI","pro","correct","pos_COI"
481,2,50,4,4,4,5,"external COI","con","correct","neg_extCOI"
482,2,50,4,4,4,4,"external COI","pro","correct","pos_extCOI"
483,1,70,6,6,5,6,"external COI","pro","incorrect","pos_extCOI"
484,1,75,6,6,6,6,"no COI","con","correct","neg_noCOI"
485,1,50,7,7,6,7,"COI","con","incorrect","neg_COI"
486,2,99,7,6,7,7,"COI","con","correct","neg_COI"
487,2,60,6,3,6,6,"external COI","con","correct","neg_extCOI"
488,1,50,4,4,4,4,"no COI","pro","correct","pos_noCOI"
489,2,80,6,7,6,6,"external COI","pro","correct","pos_extCOI"
490,2,100,7,7,7,7,"COI","con","correct","neg_COI"
491,2,85,5,4,6,5,"external COI","pro","correct","pos_extCOI"
492,1,80,6,5,6,5,"no COI","pro","correct","pos_noCOI"
493,1,80,6,4,4,6,"no COI","pro","correct","pos_noCOI"
494,2,50,6,4,6,6,"COI","con","correct","neg_COI"
495,1,65,5,5,5,5,"no COI","pro","correct","pos_noCOI"
496,2,20,2,2,2,2,"external COI","pro","correct","pos_extCOI"
497,1,70,5,4,5,6,"no COI","con","correct","neg_noCOI"
498,1,85,6,6,6,6,"no COI","pro","correct","pos_noCOI"
499,2,90,6,4,5,6,"external COI","pro","correct","pos_extCOI"
500,1,80,6,4,6,6,"no COI","pro","correct","pos_noCOI"
501,2,90,6,4,4,6,"COI","con","correct","neg_COI"
502,1,80,4,4,5,6,"no COI","con","correct","neg_noCOI"
503,1,60,6,4,6,6,"no COI","pro","correct","pos_noCOI"
504,2,50,6,1,1,5,"COI","pro","correct","pos_COI"
505,2,50,4,3,4,3,"external COI","pro","correct","pos_extCOI"
506,1,60,5,4,5,4,"no COI","con","correct","neg_noCOI"
507,2,85,6,6,6,6,"external COI","con","correct","neg_extCOI"
508,2,20,5,6,6,6,"COI","pro","correct","pos_COI"
509,2,75,6,5,5,6,"COI","pro","correct","pos_COI"
510,2,55,6,4,6,5,"no COI","pro","incorrect","pos_noCOI"
511,2,65,4,3,5,5,"external COI","con","correct","neg_extCOI"
512,2,80,6,6,6,6,"external COI","con","correct","neg_extCOI"
513,1,70,5,5,5,5,"no COI","pro","correct","pos_noCOI"
514,1,60,7,7,6,6,"external COI","pro","incorrect","pos_extCOI"
515,1,50,4,4,4,4,"no COI","con","correct","neg_noCOI"
516,1,90,5,5,5,5,"no COI","con","correct","neg_noCOI"
517,2,70,6,5,5,6,"external COI","con","correct","neg_extCOI"
518,2,70,6,5,5,5,"COI","pro","correct","pos_COI"
519,1,60,4,3,4,3,"no COI","con","correct","neg_noCOI"
520,2,30,4,3,1,2,"COI","con","correct","neg_COI"
521,2,70,6,5,6,6,"external COI","con","correct","neg_extCOI"
522,2,75,6,4,6,6,"external COI","pro","correct","pos_extCOI"
523,1,100,6,4,6,6,"no COI","pro","correct","pos_noCOI"
524,1,15,3,3,3,2,"no COI","con","correct","neg_noCOI"
525,2,60,6,3,6,3,"external COI","pro","correct","pos_extCOI"
526,1,65,5,5,5,5,"COI","con","incorrect","neg_COI"
527,2,90,6,3,5,6,"external COI","con","correct","neg_extCOI"
528,2,50,3,1,2,2,"external COI","pro","correct","pos_extCOI"
529,2,50,5,4,5,5,"COI","pro","correct","pos_COI"
530,1,75,6,5,6,6,"no COI","con","correct","neg_noCOI"
531,2,50,3,2,2,2,"COI","pro","correct","pos_COI"
532,2,40,3,3,3,3,"external COI","con","correct","neg_extCOI"
533,2,75,5,6,5,3,"external COI","con","correct","neg_extCOI"
534,2,80,7,3,6,6,"COI","con","correct","neg_COI"
535,2,30,3,5,5,2,"COI","pro","correct","pos_COI"
536,2,50,5,4,5,5,"no COI","con","incorrect","neg_noCOI"
537,1,60,4,4,4,3,"no COI","con","correct","neg_noCOI"
538,2,20,5,5,5,5,"external COI","pro","correct","pos_extCOI"
539,1,70,6,6,6,6,"no COI","con","correct","neg_noCOI"
540,2,65,6,6,6,6,"external COI","con","correct","neg_extCOI"
541,1,50,4,4,4,4,"no COI","pro","correct","pos_noCOI"
542,2,80,5,4,5,5,"external COI","con","correct","neg_extCOI"
543,1,60,5,5,5,5,"no COI","con","correct","neg_noCOI"
544,1,56,5,5,6,5,"no COI","con","correct","neg_noCOI"
545,1,80,5,6,6,6,"external COI","pro","incorrect","pos_extCOI"
546,2,35,5,4,5,5,"COI","pro","correct","pos_COI"
547,2,90,7,4,6,7,"external COI","con","correct","neg_extCOI"
548,2,80,6,6,7,6,"COI","con","correct","neg_COI"
549,2,80,6,6,6,6,"COI","con","correct","neg_COI"
550,1,30,5,3,5,3,"no COI","con","correct","neg_noCOI"
551,1,85,5,5,5,6,"no COI","con","correct","neg_noCOI"
552,2,65,6,5,6,4,"COI","con","correct","neg_COI"
553,2,50,4,5,6,6,"external COI","con","correct","neg_extCOI"
554,1,90,6,4,6,6,"no COI","pro","correct","pos_noCOI"
555,1,68,5,4,6,5,"COI","con","incorrect","neg_COI"
556,2,50,4,4,4,4,"external COI","con","correct","neg_extCOI"
557,1,70,5,4,4,6,"no COI","pro","correct","pos_noCOI"
558,1,80,4,5,5,4,"COI","con","incorrect","neg_COI"
559,1,75,5,4,5,5,"no COI","con","correct","neg_noCOI"
560,2,70,6,5,6,6,"COI","con","correct","neg_COI"
561,1,60,5,3,5,5,"no COI","con","correct","neg_noCOI"
562,1,65,6,4,6,6,"COI","con","incorrect","neg_COI"
563,2,90,7,6,7,7,"external COI","pro","correct","pos_extCOI"
564,1,70,6,3,6,3,"no COI","con","correct","neg_noCOI"
565,1,90,6,6,6,2,"external COI","con","incorrect","neg_extCOI"
566,1,93,6,5,6,6,"COI","con","incorrect","neg_COI"
567,2,60,5,5,5,5,"COI","con","correct","neg_COI"
568,2,80,5,5,5,6,"external COI","con","correct","neg_extCOI"
569,1,70,6,4,5,6,"external COI","pro","incorrect","pos_extCOI"
570,2,80,5,5,6,5,"COI","pro","correct","pos_COI"
571,1,45,4,4,4,4,"no COI","pro","correct","pos_noCOI"
572,2,80,5,3,6,6,"external COI","con","correct","neg_extCOI"
573,2,80,5,5,5,5,"external COI","pro","correct","pos_extCOI"
574,1,0,1,1,1,1,"no COI","pro","correct","pos_noCOI"
575,2,60,5,4,6,5,"COI","pro","correct","pos_COI"
576,1,65,5,5,5,3,"no COI","pro","correct","pos_noCOI"
577,2,75,6,6,6,7,"COI","con","correct","neg_COI"
578,2,85,4,3,5,5,"external COI","pro","correct","pos_extCOI"
579,1,80,4,4,4,5,"no COI","pro","correct","pos_noCOI"
580,1,50,5,6,6,5,"no COI","pro","correct","pos_noCOI"
581,2,30,3,4,3,3,"COI","con","correct","neg_COI"
582,2,75,4,4,5,5,"external COI","pro","correct","pos_extCOI"
583,2,75,5,4,4,6,"external COI","con","correct","neg_extCOI"
584,2,60,6,5,6,5,"external COI","con","correct","neg_extCOI"
585,1,60,4,4,5,5,"no COI","con","correct","neg_noCOI"
586,1,80,4,4,4,4,"external COI","pro","incorrect","pos_extCOI"
587,2,85,7,2,3,6,"external COI","con","correct","neg_extCOI"
588,2,80,5,3,6,5,"external COI","con","correct","neg_extCOI"
589,1,80,6,5,6,6,"no COI","pro","correct","pos_noCOI"
590,2,38,4,5,5,4,"COI","pro","correct","pos_COI"
591,1,75,5,6,6,5,"no COI","pro","correct","pos_noCOI"
592,2,60,5,5,5,5,"external COI","con","correct","neg_extCOI"
593,2,45,5,5,5,5,"no COI","pro","incorrect","pos_noCOI"
594,2,100,6,3,5,6,"COI","con","correct","neg_COI"
595,2,60,3,3,3,4,"COI","pro","correct","pos_COI"
596,2,0,2,1,1,1,"external COI","con","correct","neg_extCOI"
597,2,30,3,5,5,2,"external COI","pro","correct","pos_extCOI"
598,2,80,5,6,6,6,"external COI","con","correct","neg_extCOI"
599,2,50,3,3,4,3,"external COI","con","correct","neg_extCOI"
600,2,50,5,5,5,4,"external COI","con","correct","neg_extCOI"
